日本	にほん Japan
日曜日	にちようび Sunday
本	ほん book
日本人	にほんじん Japanese people
一人で	ひとりで alone
月曜日	げつようび Monday
一月	いちげつ January
火曜日	かようび Tuesday
水曜日	すいようび Wednesday
水	みず water
木曜日	もくようび Thursday
金曜日	きんようび Friday
土曜日	どようび Saturday
上	うえ top; above
下	した under
中	なか inside
三時半	さんじはん half past three
