子供	こども child
世界	せかい the world
全部	ぜんぶ all
部屋	へや room
始まる	はじまる (something) begins
始める	はじめる to begin (something)
毎週	まいしゅう every week
先週	せんしゅう last week
～以上	～いじょう ... or more
考える	かんがえる to think
開ける	あける to open (something)
本屋	ほんや book store
味方	みかた person on one's side
運動	うんどう exercise
運転	うんてん driving
教える	おしえる to teach
教室	きょうしつ classroom
