手紙	てがみ letter
歌手	かしゅ singer
好きな	すきな to like
近く	ちかく nearby
近所	きんじょ neighborhood
明るい	あかるい cheerful; bright
病院	びょういん hospital
病気	びょうき illness
映画	えいが movie
歌う	うたう to sing
歌	うた song
川口市	かわぐちし Kawaguchi city
いろいろな所	いろいろなところ various places
勉強する	べんきょうする to study
強い	つよい strong
有名な	ゆうめいな famous
旅行	りょこう travel
