会社員	かいしゃいん office worker
新しい	あたらしい new
新聞	しんぶん newspaper
聞く	きく listen
作る	つくる to make
仕事	しごと job
電車	でんしゃ train
電気	でんき electricity
車	くるま car
休む	やすむ to be absent; to rest
休み	やすみ holiday; absence
言う	いう to say
読む	よむ to read
思う	おもう to think
次	つぎ next
何	なに what
何時	なんじ what time
何人	なんにん how many people
