顔	かお face
表情	ひょうじょう expression
怒る	おこる to get angry
変な	へんな strange
大変な	たいへんな tough; hectic
相手	あいて partner
横	よこ side
比べる	くらべる to compare
文化	ぶんか culture
違う	ちがう different
間違える	まちがえる to make a mistake
悲しい	かなしい sad
調査	ちょうさ survey; research
調べる	しらべる to look into
結果	けっか result
感情	かんじょう emotion
感動する	かんどうする to be moved
答える	こたえる to answer
答え	こたえ answer
