東京	とうきょう Tokyo
京子	きょうこ Kyoko
子供	こども child
小さい	ちいさい small
会う	あう to meet
会社	かいしゃ company
父	ちち father
お父さん	おとうさん father
母	はは mother
お母さん	おかあさん mother
高い	たかい expensive
高校	こうこう high school
高校生	こうこうせい high school student
学校	がっこう school
毎日	まいにち every day
日本語	にほんご Japanese language
文学	ぶんがく literature
帰る	かえる to return
入る	はいる to enter
